prices,times
0.0990055,2013-05-03 00:00:00 UTC
0.193906,2013-05-04 00:00:00 UTC
0.11800000000000001,2013-05-05 00:00:00 UTC
0.15392,2013-05-06 00:00:00 UTC
0.214552,2013-05-07 00:00:00 UTC
0.216315,2013-05-08 00:00:00 UTC
0.223843,2013-05-09 00:00:00 UTC
0.225496,2013-05-10 00:00:00 UTC
0.198891,2013-05-11 00:00:00 UTC
0.22019899999999998,2013-05-12 00:00:00 UTC
0.24010599999999999,2013-05-13 00:00:00 UTC
0.24778000000000003,2013-05-14 00:00:00 UTC
0.286273,2013-05-15 00:00:00 UTC
0.310947,2013-05-16 00:00:00 UTC
0.29425999999999997,2013-05-17 00:00:00 UTC
0.222201,2013-05-18 00:00:00 UTC
0.196352,2013-05-19 00:00:00 UTC
0.198926,2013-05-20 00:00:00 UTC
0.190084,2013-05-21 00:00:00 UTC
0.172896,2013-05-22 00:00:00 UTC
0.200744,2013-05-23 00:00:00 UTC
0.070015,2013-05-24 00:00:00 UTC
0.10733,2013-05-25 00:00:00 UTC
0.118985,2013-05-26 00:00:00 UTC
0.12278199999999999,2013-05-27 00:00:00 UTC
0.120751,2013-05-28 00:00:00 UTC
0.117845,2013-05-29 00:00:00 UTC
0.122054,2013-05-30 00:00:00 UTC
0.11492999999999999,2013-05-31 00:00:00 UTC
0.0835337,2013-06-01 00:00:00 UTC
0.0712513,2013-06-02 00:00:00 UTC
0.074378,2013-06-03 00:00:00 UTC
0.0329346,2013-06-04 00:00:00 UTC
0.03630119999999999,2013-06-05 00:00:00 UTC
0.055823300000000006,2013-06-06 00:00:00 UTC
0.05645,2013-06-07 00:00:00 UTC
0.0539472,2013-06-08 00:00:00 UTC
0.04675,2013-06-09 00:00:00 UTC
0.043524900000000005,2013-06-10 00:00:00 UTC
0.0467764,2013-06-11 00:00:00 UTC
0.0460944,2013-06-12 00:00:00 UTC
0.0456765,2013-06-13 00:00:00 UTC
0.042506199999999994,2013-06-14 00:00:00 UTC
0.0431601,2013-06-15 00:00:00 UTC
0.0342739,2013-06-16 00:00:00 UTC
0.02452,2013-06-17 00:00:00 UTC
0.021473500000000003,2013-06-18 00:00:00 UTC
0.017018799999999997,2013-06-19 00:00:00 UTC
0.018745400000000002,2013-06-20 00:00:00 UTC
0.0176625,2013-06-21 00:00:00 UTC
0.0204318,2013-06-22 00:00:00 UTC
0.0214863,2013-06-23 00:00:00 UTC
0.020250099999999997,2013-06-24 00:00:00 UTC
0.021228999999999998,2013-06-25 00:00:00 UTC
0.0312157,2013-06-26 00:00:00 UTC
0.0306913,2013-06-27 00:00:00 UTC
0.0303764,2013-06-28 00:00:00 UTC
0.0331108,2013-06-29 00:00:00 UTC
0.037234699999999996,2013-06-30 00:00:00 UTC
0.029836599999999998,2013-07-01 00:00:00 UTC
0.0296349,2013-07-02 00:00:00 UTC
0.028588,2013-07-03 00:00:00 UTC
0.027458099999999996,2013-07-04 00:00:00 UTC
0.0198,2013-07-05 00:00:00 UTC
0.0230007,2013-07-06 00:00:00 UTC
0.028581099999999998,2013-07-07 00:00:00 UTC
0.0333155,2013-07-08 00:00:00 UTC
0.0332075,2013-07-09 00:00:00 UTC
0.022102200000000002,2013-07-10 00:00:00 UTC
0.0324052,2013-07-11 00:00:00 UTC
0.0258377,2013-07-12 00:00:00 UTC
0.022112599999999996,2013-07-13 00:00:00 UTC
0.0230515,2013-07-14 00:00:00 UTC
0.027723,2013-07-15 00:00:00 UTC
0.029341000000000002,2013-07-16 00:00:00 UTC
0.032075,2013-07-17 00:00:00 UTC
0.0389341,2013-07-18 00:00:00 UTC
0.0375642,2013-07-19 00:00:00 UTC
0.0393393,2013-07-20 00:00:00 UTC
0.0322289,2013-07-21 00:00:00 UTC
0.033893900000000005,2013-07-22 00:00:00 UTC
0.0339517,2013-07-23 00:00:00 UTC
0.031481999999999996,2013-07-24 00:00:00 UTC
0.030724200000000004,2013-07-25 00:00:00 UTC
0.0303975,2013-07-26 00:00:00 UTC
0.0254415,2013-07-27 00:00:00 UTC
0.0247418,2013-07-28 00:00:00 UTC
0.0252533,2013-07-29 00:00:00 UTC
0.031426,2013-07-30 00:00:00 UTC
0.031741700000000005,2013-07-31 00:00:00 UTC
0.0316696,2013-08-01 00:00:00 UTC
0.043680000000000004,2013-08-03 00:00:00 UTC
0.037620999999999995,2013-08-04 00:00:00 UTC
0.11031500000000001,2013-08-05 00:00:00 UTC
0.08552,2013-08-06 00:00:00 UTC
0.08263619999999999,2013-08-07 00:00:00 UTC
0.0928506,2013-08-08 00:00:00 UTC
0.109882,2013-08-09 00:00:00 UTC
0.08350110000000001,2013-08-10 00:00:00 UTC
0.0866314,2013-08-11 00:00:00 UTC
0.0701185,2013-08-12 00:00:00 UTC
0.07132260000000001,2013-08-13 00:00:00 UTC
0.07450330000000001,2013-08-14 00:00:00 UTC
0.0766452,2013-08-15 00:00:00 UTC
0.07126310000000001,2013-08-16 00:00:00 UTC
0.07686,2013-08-17 00:00:00 UTC
0.078435,2013-08-18 00:00:00 UTC
0.078408,2013-08-19 00:00:00 UTC
0.061588199999999996,2013-08-20 00:00:00 UTC
0.048320300000000004,2013-08-21 00:00:00 UTC
0.048739599999999994,2013-08-22 00:00:00 UTC
0.0460035,2013-08-23 00:00:00 UTC
0.044083199999999996,2013-08-24 00:00:00 UTC
0.043201199999999995,2013-08-25 00:00:00 UTC
0.0485315,2013-08-26 00:00:00 UTC
0.039803399999999996,2013-08-27 00:00:00 UTC
0.04321219999999999,2013-08-28 00:00:00 UTC
0.0447782,2013-08-29 00:00:00 UTC
0.06094,2013-08-30 00:00:00 UTC
0.0945507,2013-08-31 00:00:00 UTC
